isocode,isonum,country,rugged,rugged_popw,rugged_slope,rugged_lsd,rugged_pc,land_area,lat,lon,soil,desert,tropical,dist_coast,near_coast,gemstones,rgdppc_2000,rgdppc_1950_m,rgdppc_1975_m,rgdppc_2000_m,rgdppc_1950_2000_m,q_rule_law,cont_africa,cont_asia,cont_europe,cont_oceania,cont_north_america,cont_south_america,legor_gbr,legor_fra,legor_soc,legor_deu,legor_sca,colony_esp,colony_gbr,colony_fra,colony_prt,colony_oeu,africa_region_n,africa_region_s,africa_region_w,africa_region_e,africa_region_c,slave_exports,dist_slavemkt_atlantic,dist_slavemkt_indian,dist_slavemkt_saharan,dist_slavemkt_redsea,pop_1400,european_descent
GIB,292,Gibraltar,7.811,5.542000000000001,21.453000000000003,1.7280000000000002,100.0,1.0,36.139,-5.348,0.0,0.0,0.0,0.0,100.0,0,,,,,,,0,0,1,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
GIN,324,Guinea,0.74,1.03,1.969,0.213,3.952,24572.0,10.435,-10.939,17.761,0.0,100.0,0.263,14.9423,4864,1975.7939999999999,303.32099999999997,512.136,571.719,469.724,-1.32,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,350000.0,3.72,10.269,3.245,5.2589999999999995,455699.0,0.0
GLP,312,Guadeloupe,1.188,0.5329999999999999,3.23,0.359,21.296,169.0,16.28,-61.601000000000006,76.5,0.0,100.0,0.003,100.0,0,,,,,,,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,3387.0,
GMB,270,Gambia,0.353,0.384,0.915,0.091,0.0,1000.0,13.447000000000001,-15.388,81.699,0.0,89.355,0.053,77.3706,0,1728.1979999999999,607.365,1049.606,894.813,866.362,0.1,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,21730.895,3.889,10.793,3.1719999999999997,5.638,51104.0,0.5
GNB,624,Guinea-Bissau,0.491,0.534,1.3019999999999998,0.12300000000000001,0.098,2812.0,12.013,-14.987,43.253,0.0,100.0,0.045,87.3195,0,782.477,289.153,925.067,680.6060000000001,707.1460000000001,-1.65,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,0,0,181000.0,3.7960000000000003,10.630999999999998,3.285,5.632999999999999,87833.0,3.0
GNQ,226,Equatorial Guinea,0.5589999999999999,1.405,1.449,0.177,5.54,2805.0,1.703,10.335,6.829,0.0,100.0,0.069,69.3531,0,15189.54,539.763,1294.001,7973.103,1623.25,-1.263,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,10.5,5.577000000000001,8.556000000000001,3.4619999999999997,3.515,66516.0,5.75
GRC,300,Greece,3.103,1.295,9.166,0.867,52.841,12890.0,39.043,22.989,48.588,0.0,0.0,0.028999999999999998,96.2131,0,17391.74,1915.007,7721.514,12110.868999999999,6959.675,0.81,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,1118034.0,100.0
GRD,308,Grenada,2.088,1.538,5.655,0.606,39.913000000000004,34.0,12.157,-61.653999999999996,67.646,0.0,100.0,0.001,100.0,0,7536.395,,,,,0.27,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,,,,,1237.0,
GRL,304,Greenland,0.41,0.914,1.548,0.131,4.252,217500.0,74.72800000000001,-41.345,0.0,0.0,0.0,0.867,3.50187,0,,,,,,,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,10000.0,
GTM,320,Guatemala,1.807,1.369,4.893,0.5379999999999999,30.85,10843.0,15.697000000000001,-90.35600000000001,58.058,0.0,78.376,0.099,48.2159,0,3974.407,2084.894,3683.875,4096.941,3228.048,-0.897,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,,,,,243109.0,21.965
GUF,254,French Guiana,0.205,0.254,0.546,0.065,0.109,8815.0,3.93,-53.233000000000004,18.394000000000002,0.0,100.0,0.125,43.0358,0,,,,,,0.99,0,0,0,0,0,1,,,,,,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
GUM,316,Guam,0.6659999999999999,0.293,1.825,0.215,1.4980000000000002,54.0,13.44,144.776,22.221999999999998,0.0,100.0,0.0,100.0,0,,,,,,,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
GUY,328,Guyana,0.273,0.052000000000000005,0.7440000000000001,0.08900000000000001,0.36,19685.0,4.794,-58.976000000000006,19.594,0.0,100.0,0.215,28.642,1023,4072.1659999999997,,,,,-0.23,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,,,,,,1.3
HKG,344,Hong Kong Special Administrative Region of China,2.501,1.558,6.692,0.698,51.196999999999996,110.0,22.381,114.134,96.07600000000001,0.0,0.0,0.002,100.0,0,25795.83,2218.149,6990.536999999999,23328.385,9882.841,1.037,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,,,,,42611.0,0.0
HND,340,Honduras,2.15,1.207,5.824,0.631,39.971,11189.0,14.822000000000001,-86.6,55.945,0.0,94.63600000000001,0.077,66.5159,0,2506.231,1313.356,1731.9089999999999,1911.5710000000001,1690.379,-0.8370000000000001,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,,,,,114924.0,46.0
HRV,191,Croatia,1.2670000000000001,0.6779999999999999,3.842,0.366,17.588,5592.0,45.026,16.419,48.395,0.0,0.0,0.113,51.0571,0,9545.475,,,6438.607,,-0.203,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,530014.0,99.55
HTI,332,Haiti,2.362,1.318,6.4479999999999995,0.6970000000000001,42.461999999999996,2756.0,18.936,-72.686,42.05,0.0,100.0,0.019,100.0,0,1798.406,1050.62,1034.517,796.1619999999999,1007.3989999999999,-1.463,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0.0,,,,,51954.0,2.5
HUN,348,Hungary,0.34600000000000003,0.289,1.09,0.098,0.9209999999999999,8962.0,47.166000000000004,19.418,65.095,0.0,0.0,0.467,0.0,0,13223.63,2479.958,5804.766,7132.268,5178.71,0.8,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,1000000.0,99.3
IDN,360,Indonesia,0.9670000000000001,0.435,2.5869999999999997,0.304,13.405,181157.0,-2.226,117.277,43.306000000000004,0.0,99.835,0.062,77.0687,287,3028.2740000000003,839.518,1507.126,3258.498,1752.64,-0.653,0,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0.0,,,,,6987225.0,0.0
IND,356,India,1.013,0.237,2.842,0.295,12.824000000000002,297319.0,22.875999999999998,79.627,51.042,4.495,39.446999999999996,0.40700000000000003,18.0434,489,2415.093,619.003,897.336,1885.0079999999998,1006.1519999999999,0.213,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,,,,,77226807.0,0.0
IOT,86,British Indian Ocean Territory,0.018000000000000002,0.016,0.037000000000000005,0.006,0.0,8.0,-6.845,72.187,,0.0,100.0,0.0,100.0,0,,,,,,,0,1,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
IRL,372,Ireland,0.513,0.28,1.676,0.158,2.864,6889.0,53.181000000000004,-8.152999999999999,59.095,0.0,0.0,0.035,95.8615,0,30532.31,3452.8979999999997,7316.275,21551.34,8281.263,1.643,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,193357.0,99.885
IRN,364,Iran; Islamic Republic of,2.445,0.929,6.962000000000001,0.6509999999999999,33.616,162855.0,32.56,54.305,21.824,0.5429999999999999,0.0,0.461,11.4317,0,5826.672,1719.611,5862.488,4662.057,3593.365,-0.6,0,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,3741657.0,0.0
IRQ,368,Iraq,0.67,0.36,1.919,0.175,5.572,43737.0,33.051,43.765,7.912000000000001,0.01,0.0,0.456,2.58288,0,,1363.606,4315.305,1221.224,2984.5370000000003,-1.507,0,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,,,,,1000000.0,0.0
ISL,352,Iceland,1.472,0.557,5.318,0.435,20.729,10025.0,64.99,-18.594,3.403,9.086,0.0,0.04,93.2095,0,28929.43,,,,,1.7530000000000001,0,0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,60000.0,
ISR,376,Israel,1.705,1.002,4.808,0.439,23.276999999999997,2164.0,31.353,34.967,27.476999999999997,0.7090000000000001,0.0,0.052000000000000005,90.3822,0,23857.94,2817.303,10147.871,16925.593999999997,9250.91,1.07,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,,,,,229955.0,30.698
ITA,380,Italy,2.458,0.755,7.506,0.711,38.884,29411.0,42.788999999999994,12.075,51.78,0.0,0.0,0.057999999999999996,80.9226,0,24994.66,3501.9,10741.868999999999,18773.57,11048.927,0.893,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,7000000.0,99.8
JAM,388,Jamaica,1.788,0.934,4.837,0.528,24.278000000000002,1083.0,18.156,-77.311,66.97,0.0,100.0,0.012,100.0,0,3650.39,1326.785,3844.877,3598.21,3139.55,-0.377,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,,,,,22626.0,8.0
JOR,400,Jordan,1.097,1.6480000000000001,3.115,0.282,12.165,8824.0,31.25,36.788000000000004,15.479000000000001,15.332,0.0,0.18899999999999997,16.2407,0,3846.6940000000004,1663.149,2582.962,4088.574,3248.945,0.39,0,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,,,,,86370.0,1.0
JPN,392,Japan,2.1319999999999997,0.46299999999999997,6.275,0.604,37.173,36450.0,37.54,137.963,42.879,0.0,0.006,0.032,97.7372,0,26219.79,1920.721,11343.781,20742.387,11248.286,1.4769999999999999,0,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,12500000.0,0.0
KAZ,398,Kazakhstan,0.37200000000000005,0.281,1.172,0.10800000000000001,2.9130000000000003,269970.0,48.18,67.313,9.877,9.747,0.0,2.206,0.0,0,4594.435,,,5648.025,,-0.877,0,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,1253389.0,41.9
KEN,404,Kenya,0.669,0.5589999999999999,1.781,0.195,5.4270000000000005,56914.0,0.534,37.861,33.657,11.629000000000001,51.028,0.409,9.387889999999999,0,1018.7310000000001,650.601,941.8480000000001,1030.687,912.7589999999999,-1.05,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1,0,86447.906,11.083,2.705,3.359,1.361,1322790.0,0.0
KGZ,417,Kyrgyzstan,4.287,0.948,13.105,1.246,69.767,19180.0,41.464,74.556,12.534,0.0,0.0,1.9180000000000001,0.0,0,1560.0,,,2167.491,,-0.74,0,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,325361.0,15.0
KHM,116,Cambodia,0.54,0.146,1.421,0.154,6.093999999999999,17652.0,12.707,104.921,22.213,0.0,100.0,0.17,25.378,0,1859.0629999999999,481.977,579.707,1141.0,766.5830000000001,-1.013,0,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0.0,,,,,1383162.0,0.0
KIR,296,Kiribati,0.01,0.015,0.021,0.003,0.0,81.0,0.6990000000000001,-46.958,45.678999999999995,0.0,100.0,0.0,100.0,0,,,,,,-0.145,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,,,,,10513.0,
KNA,659,Saint Kitts and Nevis,0.006,0.01,0.012,0.003,0.0,26.0,17.274,-62.70399999999999,100.0,0.0,100.0,0.001,100.0,0,11224.7,,,,,0.06,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,,,,,743.0,
KOR,410,Republic of Korea,1.96,0.747,5.807,0.546,33.976,9873.0,36.356,127.806,43.556000000000004,0.0,0.0,0.042,95.0484,0,16172.41,853.89,3161.702,14219.083,4725.635,0.7170000000000001,0,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,2308243.0,0.0
KWT,414,Kuwait,0.245,0.271,0.691,0.063,0.0,1782.0,29.354,47.613,0.0,0.0,0.0,0.04,98.6018,0,15958.92,28878.139,18161.664,10082.733,19359.766,0.77,0,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,,,,,42006.0,0.0
LAO,418,Lao People's Democratic Republic,2.553,1.218,6.976,0.723,49.806999999999995,23080.0,18.495,103.774,12.068,0.0,54.794,0.267,6.8206,0,1569.901,612.943,783.584,1203.223,826.834,-1.15,0,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0.0,,,,,348220.0,0.0
LBN,422,Lebanon,4.197,2.17,12.042,1.103,71.642,1023.0,33.922,35.897,72.415,0.0,0.0,0.027000000000000003,100.0,0,4216.305,2428.74,3461.337,3405.22,2881.809,-0.177,0,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0.0,,,,,313584.0,0.5
LBR,430,Liberia,0.263,0.259,0.695,0.083,0.45899999999999996,9632.0,6.4479999999999995,-9.307,15.82,0.0,100.0,0.096,54.5897,9901,,1054.759,1247.827,990.059,1195.255,-2.113,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,6789.634,3.7760000000000002,9.777000000000001,3.595,5.227,143361.0,0.0
LBY,434,Libyan Arab Jamahiriya,0.40299999999999997,0.337,1.124,0.105,1.535,175954.0,27.041,18.029,2.7560000000000002,48.242,0.0,0.501,9.92269,0,,857.168,5515.241999999999,2312.993,3978.577,-1.01,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,8847.93,8.422,16.775,0.61,2.151,500000.0,0.0
LCA,662,Saint Lucia,2.147,1.351,5.841,0.59,35.476,61.0,13.894,-60.965,32.527,0.0,100.0,0.002,100.0,0,5620.647,,,,,0.06,0,0,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,,,,,1335.0,
LIE,438,Liechtenstein,5.327999999999999,2.927,17.18,1.554,76.37899999999999,16.0,47.145,9.554,0.0,0.0,0.0,0.305,0.0,0,,,,,,1.515,0,0,1,0,0,0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
LKA,144,Sri Lanka,0.65,0.446,1.712,0.19699999999999998,7.7860000000000005,6463.0,7.63,80.70100000000001,51.595,0.0,100.0,0.035,100.0,0,3625.534,1252.871,1540.745,3633.9840000000004,1891.942,-0.067,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,,,,,956352.0,0.0
LSO,426,Lesotho,6.202000000000001,4.165,17.595,1.5590000000000002,90.249,3035.0,-29.58,28.254,54.695,0.0,0.0,0.24600000000000002,0.0,308,2122.544,355.366,714.936,1490.346,824.398,-0.083,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0.0,7.202000000000001,3.035,6.6370000000000005,4.846,26096.0,0.0
LTU,440,Lithuania,0.175,0.22899999999999998,0.578,0.049,0.0,6268.0,55.336000000000006,23.905,62.06399999999999,0.0,0.0,0.256,13.8029,0,8767.231,,,6346.335999999999,,0.33,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,161557.0,100.0
LUX,442,Luxembourg,0.8809999999999999,0.581,2.844,0.242,1.6540000000000001,259.0,49.778,6.095,25.662,0.0,0.0,0.259,0.0,0,57792.09,,,,,1.767,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,26534.0,99.2
LVA,428,Latvia,0.154,0.136,0.522,0.044000000000000004,0.0,6205.0,56.854,24.930999999999997,77.568,0.0,0.0,0.265,15.7566,0,7903.728,,,7693.585,,0.177,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,122643.0,100.0
MAC,446,Macao Special Administrative Region of China,0.732,0.527,1.921,0.185,4.168,3.0,22.169,113.555,0.0,0.0,0.0,0.0,100.0,0,18581.94,,,,,0.195,0,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0.0,,,,,13636.0,
MAR,504,Morocco,2.4130000000000003,1.291,6.853,0.629,36.083,44630.0,31.881999999999998,-6.3020000000000005,43.968,0.614,0.0,0.16399999999999998,35.4198,0,3513.8340000000003,1455.361,1830.967,2657.562,1952.039,0.133,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0.0,5.794,13.675999999999998,1.023,4.571000000000001,1586397.0,8.0
MCO,492,Monaco,6.612,6.042999999999999,20.834,2.106,100.0,,43.753,7.422000000000001,0.0,0.0,0.0,0.0,100.0,0,,,,,,,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
MDA,498,Republic of Moldova,0.799,0.573,2.5269999999999997,0.222,0.40299999999999997,3288.0,47.205,28.468000000000004,62.015,0.0,0.0,0.19699999999999998,11.0077,0,1331.461,,,2127.236,,-0.317,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,147311.0,99.1
MDG,450,Madagascar,1.169,0.738,3.185,0.32799999999999996,12.672,58154.0,-19.379,46.7,50.803999999999995,0.0,65.22399999999999,0.087,61.0618,0,825.2439999999999,951.01,1126.29,705.8989999999999,966.595,-0.653,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1,0,125000.0,9.686,0.904,5.732,3.4539999999999997,544859.0,0.6
MDV,462,Maldives,0.012,0.012,0.024,0.004,0.0,30.0,3.5660000000000003,73.215,30.0,0.0,100.0,0.0,100.0,0,,,,,,0.35,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,,,,,,
MEX,484,Mexico,1.732,0.825,4.795,0.491,27.340999999999998,194395.0,23.941,-102.536,31.934,1.704,27.928,0.183,38.4165,0,9046.27,2365.019,5158.34,7274.678000000001,4824.431,-0.473,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,,,,,4514402.0,30.0
MHL,584,Marshall Islands,0.013999999999999999,0.016,0.033,0.004,0.0,18.0,8.027000000000001,169.168,50.0,0.0,100.0,0.0,100.0,0,,,,,,-0.405,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,6267.0,
MKD,807,The former Yugoslav Republic of Macedonia,2.665,0.885,8.19,0.7829999999999999,49.405,2543.0,41.6,21.701,52.895,0.0,0.0,0.135,14.0538,0,6059.698,,,3340.784,,-0.433,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,169275.0,96.31
MLI,466,Mali,0.147,0.305,0.39299999999999996,0.042,0.228,122019.0,17.355,-3.5239999999999996,18.562,26.131999999999998,11.687999999999999,1.014,0.0,0,779.597,456.875,612.9630000000001,891.6560000000001,638.5319999999999,-0.527,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,842000.0,3.897,10.79,2.263,4.311,1063541.0,0.0
MLT,470,Malta,1.527,1.171,4.292,0.381,14.699000000000002,32.0,35.925,14.407,100.0,0.0,0.0,0.002,100.0,0,18255.73,,,,,1.003,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,10000.0,99.5
MMR,104,Myanmar,1.9880000000000002,0.332,5.517,0.5770000000000001,34.731,65755.0,21.123,96.514,25.529,0.0,50.245,0.287,30.3948,0,,395.686,662.868,1376.1789999999999,725.201,-1.3,0,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,,,,,3482202.0,0.0
MNG,496,Mongolia,1.057,0.765,3.352,0.309,12.623,156650.0,46.836000000000006,103.07,44.883,1.49,0.0,1.694,0.0,0,1620.4360000000001,435.42199999999997,912.424,1084.652,891.187,0.0,0,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,578516.0,1.0
MNP,580,Northern Mariana Islands,1.7,1.484,4.572,0.504,25.44,46.0,15.8,145.63,4.13,0.0,100.0,0.0,100.0,0,,,,,,,0,0,0,1,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
MOZ,508,Mozambique,0.612,0.43799999999999994,1.653,0.17,4.54,78638.0,-17.264,35.549,55.38399999999999,0.0,87.365,0.21,30.756,0,876.868,1133.42,1403.62,1364.891,1278.82,-0.85,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,626000.0,9.264,2.185,5.268,3.298,786003.0,0.0
MRT,478,Mauritania,0.115,0.147,0.308,0.034,0.278,103070.0,20.264,-10.335999999999999,2.042,74.857,0.0,0.511,5.9946,0,1729.2079999999999,463.918,961.9910000000001,1016.92,856.331,-0.523,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,164000.0,4.4239999999999995,11.914000000000001,2.255,4.973,221211.0,0.0
MSR,500,Montserrat,3.395,2.824,9.256,1.0270000000000001,69.921,10.0,16.736,-62.193000000000005,0.0,0.0,100.0,0.0,100.0,0,,,,,,,0,0,0,0,1,0,,,,,,0,0,0,0,0,0,0,0,0,0,0.0,,,,,218.0,
MTQ,474,Martinique,1.206,0.659,3.3110000000000004,0.37799999999999995,11.619000000000002,106.0,14.649000000000001,-61.021,61.658,0.0,100.0,0.003,100.0,0,,,,,,1.255,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,3580.0,
MUS,480,Mauritius,0.9490000000000001,0.7879999999999999,2.436,0.28300000000000003,9.101,203.0,-20.131,57.879,52.217,0.0,100.0,0.006,100.0,0,9622.511999999999,2489.759,3969.0690000000004,10652.315,4876.056,0.7929999999999999,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1,0,0.0,10.31,0.032,6.274,3.884,0.0,16.0
MWI,454,Malawi,1.0270000000000001,0.821,2.759,0.3,10.542,9408.0,-13.216,34.301,32.281,0.0,39.224000000000004,0.496,0.0,0,586.252,324.056,591.72,656.235,507.871,-0.53,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,125000.0,9.267000000000001,2.1830000000000003,4.821000000000001,2.9219999999999997,348220.0,0.0
MYS,458,Malaysia,1.0090000000000001,0.374,2.6839999999999997,0.316,12.87,32855.0,3.7910000000000004,109.709,49.196000000000005,0.0,100.0,0.057,83.2625,0,8926.452,1559.265,2648.422,8165.59,3467.013,0.517,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0.0,,,,,296322.0,0.0
MYT,175,Mayotte,2.673,2.483,5.809,0.72,42.602,37.4,-12.82,45.143,50.771,0.0,100.0,0.002,100.0,0,,,,,,,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0.0,10.107999999999999,1.551,4.995,2.722,0.0,
NAM,516,Namibia,0.9129999999999999,0.423,2.489,0.235,9.722999999999999,82329.0,-22.14,17.219,25.173000000000002,13.860999999999999,0.0,0.305,17.6842,55728,6057.856,2159.705,3333.925,3637.062,3181.151,0.293,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,190.351,5.683,5.792000000000001,5.981,4.685,93798.0,10.85
NCL,540,New Caledonia,1.5859999999999999,0.621,4.338,0.49200000000000005,24.913,1828.0,-21.299,165.66299999999998,54.443999999999996,0.0,94.292,0.008,100.0,0,22140.0,,,,,-0.86,0,0,0,1,0,0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0.0,,,,,31251.0,
NER,562,Niger,0.17800000000000002,0.222,0.48100000000000004,0.051,0.245,126670.0,17.424,9.401,8.236,39.21,0.032,1.186,0.0,0,703.1410000000001,617.031,658.875,486.397,683.153,-0.8370000000000001,1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,19911.727,5.159,9.222999999999999,1.768,2.9539999999999997,705385.0,0.0
NFK,574,Norfolk Island,1.1540000000000001,0.812,3.266,0.35100000000000003,12.248,4.0,-29.026999999999997,167.956,,0.0,0.0,0.0,100.0,0,,,,,,,0,0,0,1,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
NGA,566,Nigeria,0.312,0.22899999999999998,0.833,0.09300000000000001,1.5630000000000002,91077.0,9.585,8.092,56.263000000000005,0.0,73.44,0.491,9.17532,0,882.59,752.681,1416.6229999999998,1251.178,1109.575,-1.29,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,2020000.0,5.224,9.151,2.642,3.3139999999999996,5909180.0,0.0
NIC,558,Nicaragua,0.992,0.768,2.6710000000000003,0.28600000000000003,11.923,12140.0,12.841,-85.03299999999999,33.249,0.0,100.0,0.077,65.2217,0,3277.64,1615.7879999999998,3128.881,1520.5520000000001,2131.895,-0.657,0,0,0,0,1,0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0.0,,,,,100069.0,51.0
NIU,570,Niue,0.177,0.205,0.47200000000000003,0.055,0.0,26.0,-19.05,-169.86,26.923000000000002,0.0,100.0,0.0,100.0,0,,,,,,,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
NLD,528,Netherlands,0.037000000000000005,0.042,0.10800000000000001,0.012,0.0,3388.0,52.25,5.621,41.165,0.0,0.0,0.042,91.6192,0,28610.12,5996.128000000001,13373.628,22161.445,12961.165,1.79,0,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,600000.0,95.95
